,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
2793,0.3,814,-200,2.5,618,-200,1097,1400,696,21.6,46.1,1.1761,-200
2794,-200.0,816,-200,2.6,624,41,1073,1422,729,19.7,51.4,1.1688,56
2795,0.4,799,-200,2.4,613,38,1120,1387,641,21.6,45.7,1.1665,43
2796,0.7,879,-200,5.6,792,59,906,1521,825,21.1,47.3,1.1654,57
2797,2.0,1104,-200,14.3,1125,165,697,1815,1179,21.6,44.1,1.1269,80
2798,3.9,1344,-200,27.7,1496,287,519,2311,1651,23.7,37.9,1.0988,134
2799,3.6,1226,-200,19.1,1272,317,632,1901,1474,26.0,30.1,0.9953,157
2800,3.2,1157,-200,15.9,1176,330,691,1779,1370,30.6,23.2,1.001,175
2801,2.2,1059,-200,12.3,1060,204,798,1638,1141,34.1,19.1,1.0048,147
2802,2.2,1076,-200,12.2,1057,189,778,1633,1076,36.2,18.0,1.0636,140
2803,2.1,1066,-200,11.7,1041,165,783,1641,1036,37.4,17.3,1.0914,137
2804,1.8,1049,-200,10.4,994,139,813,1580,881,39.5,15.6,1.102,123
2805,2.0,1097,-200,12.7,1074,156,776,1671,960,40.4,14.9,1.1033,138
2806,1.8,1087,-200,11.1,1018,130,791,1624,883,40.1,16.1,1.1699,132
2807,3.0,1269,-200,19.0,1269,173,633,1942,1221,39.3,18.9,1.3251,174
2808,4.3,1328,-200,24.1,1405,302,584,2072,1518,37.3,19.9,1.2437,203
2809,3.5,1200,-200,19.1,1270,239,654,1906,1264,33.6,22.9,1.1747,176
2810,2.5,1098,-200,13.6,1105,139,732,1768,1061,30.7,28.9,1.2501,125
2811,1.8,1058,-200,10.7,1004,92,776,1684,947,28.8,32.8,1.2776,98
2812,1.9,1081,-200,11.3,1025,104,738,1757,1059,27.3,36.8,1.3207,103
2813,1.9,1062,-200,9.6,962,108,776,1674,1030,26.2,39.7,1.3249,104
2814,1.9,1078,-200,9.8,971,107,752,1694,1065,25.4,43.0,1.37,105
2815,0.9,917,-200,4.9,761,55,931,1497,893,25.8,41.0,1.3461,75
2816,0.7,881,-200,4.1,718,43,965,1510,837,23.3,48.4,1.3677,60
2817,0.6,865,-200,3.3,671,-200,1012,1477,807,23.5,47.8,1.3607,-200
2818,0.4,829,-200,2.2,602,23,1123,1410,596,23.5,46.7,1.3361,36
2819,0.7,913,-200,4.6,743,65,931,1540,884,21.8,52.3,1.3539,66
2820,1.6,1077,-200,10.2,985,165,742,1780,1170,21.8,52.5,1.3529,97
2821,3.8,1337,-200,23.3,1386,274,565,2196,1596,22.9,49.1,1.3546,115
2822,5.1,1467,-200,31.0,1575,369,472,2460,1873,24.9,43.3,1.3422,145
2823,3.4,1257,-200,17.6,1227,308,611,1954,1608,26.7,39.4,1.3556,162
2824,2.6,1227,-200,14.3,1125,227,675,1835,1470,30.5,32.9,1.4135,147
2825,2.2,1188,-200,13.7,1108,178,693,1818,1275,34.2,27.2,1.4404,132
2826,3.4,1301,-200,19.3,1276,267,631,1953,1407,38.2,20.9,1.3701,179
2827,3.4,1201,-200,19.3,1278,278,657,1892,1302,39.6,16.9,1.2028,174
2828,1.8,1058,-200,11.3,1026,165,794,1622,931,39.9,15.8,1.141,132
2829,2.0,1037,-200,12.7,1075,172,789,1604,917,40.2,13.9,1.02,151
2830,2.4,1055,-200,15.3,1157,216,762,1674,985,39.6,13.2,0.9332,168
2831,3.8,1179,-200,22.5,1364,306,661,1845,1265,39.5,12.6,0.8894,192
2832,4.4,1298,-200,25.0,1430,317,632,1946,2475,37.9,13.9,0.9015,194
2833,3.9,1213,-200,21.1,1327,251,654,1864,2021,34.2,17.9,0.9444,155
2834,4.0,1233,-200,23.8,1398,230,613,1975,1834,32.6,20.6,0.9939,159
2835,2.5,1086,-200,14.9,1145,154,737,1717,1426,30.4,23.2,0.9889,125
2836,2.1,1056,-200,12.8,1078,137,765,1668,1272,28.8,25.1,0.9793,108
2837,2.4,1138,-200,14.3,1128,133,681,1737,1490,27.8,29.9,1.1018,110
2838,2.1,1112,-200,14.3,1128,117,675,1771,1440,26.9,32.6,1.1381,99
2839,1.6,992,-200,9.2,948,106,773,1609,1271,26.3,33.7,1.1377,95
2840,0.8,895,-200,5.1,767,55,931,1463,985,25.7,33.9,1.1065,69
2841,0.5,843,-200,3.0,655,-200,1046,1377,826,24.8,36.0,1.1109,-200
2842,0.4,828,-200,2.6,626,27,1073,1362,754,25.5,34.6,1.1096,45
2843,0.5,894,-200,4.0,709,46,997,1432,853,24.0,37.8,1.1077,53
2844,1.3,1072,-200,9.9,976,144,740,1673,1340,23.9,39.3,1.1522,88
2845,4.1,1425,-200,27.3,1486,392,512,2305,1869,24.8,38.4,1.1808,136
2846,4.1,1428,-200,27.9,1500,358,496,2275,2021,26.9,34.4,1.2036,141
2847,4.0,1359,-200,24.5,1415,381,572,2081,1902,29.6,28.7,1.1706,189
2848,2.2,1182,-200,14.2,1122,261,730,1707,1527,34.6,21.1,1.1398,166
2849,2.0,1117,-200,11.9,1045,207,761,1623,1260,38.3,17.0,1.1216,154
2850,2.0,1119,-200,13.1,1088,155,741,1640,1124,40.4,14.5,1.0736,149
2851,2.2,1068,-200,15.1,1152,193,739,1683,1309,42.6,9.6,0.8012,142
2852,2.2,1090,-200,14.1,1120,195,743,1629,1283,42.5,10.2,0.8478,130
2853,1.8,1056,-200,11.3,1024,159,792,1555,1068,41.0,11.6,0.8872,121
2854,1.8,1098,-200,10.8,1007,120,799,1546,937,41.3,13.0,1.0154,116
2855,3.3,1318,-200,21.5,1339,228,635,1925,1416,39.2,14.5,1.0106,177
2856,4.3,1348,-200,21.8,1347,348,599,1903,1611,36.9,17.9,1.096,233
2857,5.3,1502,-200,29.8,1546,337,538,2199,1919,35.6,20.4,1.1646,223
2858,4.3,1373,-200,22.5,1364,282,597,2005,1745,33.7,22.6,1.1658,184
2859,3.6,1397,-200,21.8,1346,228,580,2017,1837,31.5,27.8,1.2671,165
2860,2.4,1286,-200,17.1,1214,168,620,1880,1759,31.1,29.3,1.3055,132
2861,2.1,1222,-200,15.4,1161,173,661,1827,1593,30.2,30.9,1.3026,122
2862,1.2,1069,-200,10.2,983,87,749,1627,1357,29.8,30.2,1.2502,88
2863,0.9,1011,-200,7.2,864,65,809,1532,1231,28.4,32.5,1.2361,79
2864,0.6,962,-200,5.8,803,43,853,1507,1066,27.5,34.0,1.231,60
2865,0.5,919,-200,4.2,723,-200,910,1443,992,26.8,35.3,1.2243,-200
2866,-200.0,969,-200,5.1,769,43,866,1485,1063,24.5,40.4,1.2251,60
2867,0.6,986,-200,5.4,784,66,839,1503,1204,25.6,38.8,1.2545,74
2868,0.6,990,-200,6.2,821,57,848,1511,1079,27.5,34.6,1.2518,62
2869,2.2,1296,-200,16.9,1208,231,603,1914,1593,25.9,37.4,1.2289,115
2870,3.2,1371,-200,23.2,1384,219,545,2082,1745,28.5,32.5,1.2441,119
2871,3.0,1385,-200,18.0,1240,288,596,1919,1847,29.5,32.7,1.3229,155
2872,2.7,1381,-200,17.6,1227,312,595,1903,1845,29.8,33.1,1.3693,162
2873,3.2,1396,-200,20.3,1306,361,587,1934,1886,33.4,26.8,1.3586,189
2874,1.4,1070,-200,10.6,1000,147,801,1538,1039,40.3,15.8,1.1604,115
2875,1.3,1076,-200,9.9,972,111,819,1525,923,41.8,15.0,1.1989,109
2876,1.4,1126,-200,10.7,1004,98,788,1609,926,41.1,15.7,1.2071,108
2877,2.1,1225,-200,16.5,1196,156,673,1775,1277,41.9,14.8,1.1944,145
2878,2.4,1202,-200,16.9,1206,213,671,1807,1301,40.9,14.6,1.114,167
2879,3.1,1308,-200,20.5,1310,250,628,1891,1385,39.1,16.9,1.1705,200
2880,3.5,1440,-200,19.4,1281,253,580,2021,1474,36.4,27.3,1.6308,178
2881,5.1,1611,-200,30.0,1552,317,487,2371,1948,34.9,29.3,1.611,206
2882,4.5,1387,-200,24.6,1419,309,559,2113,1677,33.6,26.4,1.3515,192
2883,2.9,1268,-200,16.9,1206,201,648,1900,1434,32.2,27.6,1.3044,137
2884,2.6,1237,-200,15.8,1175,173,660,1834,1424,30.5,29.7,1.2742,128
2885,2.7,1302,-200,16.6,1198,156,628,1934,1504,29.4,35.6,1.4383,121
2886,3.2,1347,-200,19.5,1282,190,575,1996,1661,29.1,34.8,1.38,136
2887,2.3,1355,-200,16.6,1198,129,564,1905,1714,27.7,41.9,1.537,109
2888,1.0,1023,-200,6.2,822,65,823,1585,1050,27.9,41.6,1.5425,74
2889,0.5,903,-200,2.7,631,-200,1070,1458,550,27.8,43.7,1.6039,-200
2890,0.4,876,-200,2.3,605,29,1144,1432,456,27.4,42.2,1.5177,40
2891,0.6,932,-200,3.9,707,58,1011,1509,554,26.6,42.8,1.4713,61
2892,1.0,1020,-200,7.2,866,92,847,1636,744,26.9,40.3,1.4041,83
2893,2.9,1264,-200,18.1,1241,228,609,1989,1280,27.0,37.3,1.3081,129
2894,2.7,1179,-200,15.1,1153,172,654,1877,1096,27.0,35.3,1.2396,-200
2895,1.8,1079,-200,9.7,966,154,785,1640,927,27.4,32.0,1.1545,115
2896,1.8,1036,-200,9.4,955,166,829,1527,840,30.5,24.7,1.0592,130
2897,1.7,1002,-200,9.6,964,149,828,1546,786,32.9,20.1,0.9902,137
2898,1.5,995,-200,9.5,959,111,856,1544,690,33.9,18.4,0.9587,116
2899,1.7,1008,-200,9.6,962,145,845,1545,742,34.4,19.3,1.0325,129
2900,1.3,978,-200,9.6,962,105,846,1527,680,34.2,19.6,1.0399,117
2901,1.5,989,-200,10.3,990,113,822,1577,705,33.2,20.4,1.0195,138
2902,1.5,961,-200,10.2,985,115,845,1554,677,32.4,19.1,0.915,139
2903,2.3,1009,-200,14.0,1116,202,779,1602,877,32.2,17.1,0.8124,180
2904,2.2,970,-200,14.0,1117,180,786,1579,844,31.0,17.1,0.7526,162
2905,2.8,1097,-200,16.6,1199,190,699,1738,1006,28.3,24.9,0.9412,158
2906,2.7,1065,-200,13.6,1105,207,723,1672,987,26.6,30.2,1.033,162
2907,1.7,1036,-200,10.2,986,113,776,1614,868,24.8,36.8,1.1357,112
2908,1.5,1049,-200,9.5,958,98,794,1648,861,23.7,43.4,1.2495,104
2909,2.3,1147,-200,11.8,1043,152,727,1719,1042,23.0,46.2,1.2815,125
2910,2.3,1118,-200,13.0,1082,161,694,1792,1080,22.7,47.7,1.2977,127
2911,1.5,1016,-200,9.6,963,91,776,1661,811,22.2,49.5,1.3081,95
2912,1.0,940,-200,6.7,845,57,845,1539,704,21.6,51.9,1.3254,70
2913,0.5,836,-200,2.9,643,-200,1114,1405,522,22.3,50.4,1.3379,-200
2914,0.3,831,-200,2.6,626,22,1126,1406,484,22.4,49.7,1.3333,33
2915,0.4,877,-200,4.0,711,41,1018,1475,580,21.7,52.0,1.3313,45
2916,0.5,872,-200,4.3,725,53,976,1471,668,21.1,53.2,1.3181,56
2917,0.9,958,-200,5.9,805,92,886,1551,835,22.0,51.0,1.3296,74
2918,1.1,959,-200,6.8,848,91,859,1572,739,25.0,41.6,1.301,84
2919,1.4,997,-200,8.8,933,89,799,1612,763,26.7,36.4,1.2596,93
2920,1.1,916,-200,6.7,843,81,891,1511,614,29.1,29.7,1.1751,97
2921,0.9,895,-200,6.4,831,66,946,1473,566,31.2,23.4,1.0487,83
2922,0.8,855,-200,6.0,812,53,982,1416,508,32.4,20.5,0.9806,71
2923,0.8,861,-200,6.0,811,61,997,1409,509,33.3,19.2,0.9634,78
2924,0.6,821,-200,5.0,766,48,1071,1323,457,33.1,16.8,0.8391,62
2925,0.6,835,-200,4.4,731,39,1108,1323,438,33.1,18.3,0.9081,54
2926,0.5,813,-200,4.4,732,41,1118,1303,427,32.4,18.0,0.8599,59
2927,0.7,833,-200,5.5,786,48,1064,1328,453,31.8,18.7,0.8624,69
2928,0.8,859,-200,5.8,803,50,1032,1363,479,30.3,21.4,0.9064,67
2929,0.9,887,-200,5.3,778,51,978,1387,500,27.2,28.2,1.0013,58
2930,1.3,970,-200,8.0,900,70,856,1559,647,26.1,33.7,1.1228,77
2931,1.3,990,-200,7.2,866,89,866,1551,728,24.7,38.8,1.1929,94
2932,1.4,1022,-200,8.0,899,100,846,1588,820,23.4,43.2,1.229,97
2933,1.9,1075,-200,10.4,993,139,781,1682,946,23.1,44.2,1.2317,110
2934,2.3,1088,-200,11.6,1035,176,751,1713,1018,22.7,45.3,1.2299,116
2935,1.0,925,-200,6.4,831,71,880,1513,789,21.6,47.5,1.2118,74
2936,0.5,853,-200,4.1,716,37,994,1423,647,22.0,45.8,1.1965,51
2937,1.0,918,-200,6.4,830,-200,875,1548,785,20.4,51.3,1.2131,-200
2938,0.4,796,-200,2.7,636,30,1092,1387,576,20.6,50.3,1.2041,40
2939,0.3,796,-200,2.6,628,29,1136,1385,555,20.6,50.6,1.2119,36
2940,0.2,795,-200,2.3,606,25,1152,1369,552,21.3,48.8,1.2189,35
2941,0.4,842,-200,3.1,656,40,1080,1427,620,20.4,52.6,1.247,48
2942,0.3,850,-200,3.1,659,32,1077,1402,557,23.5,44.0,1.2596,38
2943,0.6,884,-200,4.0,709,43,1027,1442,556,25.7,37.9,1.2334,54
2944,0.6,907,-200,4.6,741,44,983,1486,573,27.9,33.6,1.2433,57
2945,0.6,846,-200,3.9,703,35,1034,1380,514,29.0,28.3,1.1116,54
2946,0.5,827,-200,3.8,697,32,1070,1371,478,29.5,25.9,1.0489,46
2947,0.4,804,-200,2.8,636,21,1185,1321,424,31.8,22.3,1.0366,36
2948,0.2,775,-200,2.5,619,10,1254,1272,386,32.2,20.0,0.9488,19
2949,0.4,802,-200,3.0,651,22,1206,1282,403,32.4,19.3,0.922,34
2950,0.6,844,-200,4.7,751,46,1064,1327,462,33.0,17.7,0.8758,63
2951,0.9,881,-200,5.0,765,66,1029,1359,489,32.0,19.8,0.9273,86
2952,0.7,877,-200,4.5,736,49,1077,1347,463,29.6,24.1,0.9831,65
2953,1.2,931,-200,7.7,885,86,892,1467,585,26.9,27.1,0.948,101
2954,1.6,1011,-200,9.7,967,111,818,1565,748,25.3,30.9,0.9815,116
2955,1.8,1035,-200,11.0,1015,143,757,1651,940,24.2,35.9,1.0684,124
2956,2.4,1153,-200,11.8,1042,184,733,1700,1022,23.2,43.2,1.2104,136
2957,1.5,1020,-200,8.7,929,134,805,1615,929,22.7,43.9,1.1962,108
2958,0.9,954,-200,7.5,879,78,837,1550,834,21.6,44.0,1.1244,82
2959,0.8,903,-200,5.7,800,50,911,1478,751,20.7,46.4,1.1198,68
2960,0.2,779,-200,2.0,581,13,1204,1323,505,21.2,46.2,1.1482,22
2961,0.1,761,-200,1.4,540,-200,1269,1303,486,22.7,42.3,1.1491,-200
2962,-200.0,780,-200,1.8,568,24,1200,1331,501,19.9,51.3,1.1803,34
2963,0.5,835,-200,3.3,672,43,1053,1423,628,20.0,51.8,1.1967,43
2964,1.4,1004,-200,9.4,955,146,758,1671,1043,18.5,57.4,1.2076,84
2965,3.3,1272,-200,21.1,1328,333,567,2085,1463,19.6,54.3,1.2278,108
2966,3.6,1173,-200,17.2,1217,298,625,1945,1358,21.3,49.7,1.2452,112
2967,1.7,986,-200,8.5,922,178,820,1586,971,21.7,46.3,1.1867,104
2968,1.5,942,-200,6.8,849,177,907,1496,894,23.4,39.4,1.1172,107
2969,1.6,957,-200,7.4,875,172,891,1525,871,25.7,33.0,1.0763,102
2970,2.1,1024,-200,12.1,1052,183,779,1690,952,28.5,27.3,1.0479,104
2971,2.1,962,-200,9.6,963,164,835,1592,843,27.0,27.9,0.9812,96
2972,1.6,958,-200,7.4,873,122,868,1550,750,24.2,36.9,1.0966,80
2973,1.3,933,-200,6.4,831,105,888,1514,710,26.0,34.9,1.1509,72
2974,1.6,942,-200,8.3,912,144,842,1551,814,24.8,33.1,1.0222,106
2975,3.1,1073,-200,14.0,1117,220,693,1762,1052,24.0,36.3,1.0708,119
2976,3.3,1086,-200,15.3,1159,207,686,1782,1060,23.6,35.5,1.0187,119
2977,3.4,1091,-200,15.4,1161,210,682,1797,1153,23.6,35.7,1.0282,128
2978,2.8,980,-200,10.9,1009,175,786,1625,986,23.3,34.5,0.9768,112
2979,1.5,904,-200,7.5,877,117,890,1488,781,22.5,36.8,0.988,95
2980,1.3,865,-200,5.2,773,93,991,1414,653,21.3,38.7,0.9686,85
2981,1.6,898,-200,7.1,863,118,911,1493,777,20.9,39.4,0.9596,101
2982,1.5,945,-200,7.6,883,132,837,1563,1015,19.8,47.7,1.093,94
2983,1.0,854,-200,5.0,764,88,932,1476,922,19.3,51.4,1.1387,76
2984,0.5,751,-200,2.0,587,43,1165,1353,678,18.4,53.4,1.117,50
2985,0.4,723,-200,1.5,544,-200,1274,1315,584,18.8,51.1,1.1,-200
2986,0.6,754,-200,2.5,620,44,1102,1372,725,16.3,59.8,1.1042,51
2987,0.7,758,-200,3.3,670,50,1070,1365,688,16.6,56.8,1.0629,42
2988,1.3,873,-200,7.3,871,101,871,1528,887,16.2,57.4,1.0515,62
2989,4.0,1176,-200,23.8,1398,339,567,2120,1494,17.3,54.3,1.0631,111
2990,5.0,1257,-200,27.6,1495,379,524,2245,1647,19.2,48.8,1.0751,129
2991,3.6,1137,-200,16.7,1200,321,648,1821,1489,21.7,42.4,1.0859,135
2992,2.8,1064,-200,14.3,1126,272,711,1656,1361,26.4,29.9,1.0138,139
2993,2.6,1026,-200,13.3,1094,278,769,1629,1224,31.3,19.1,0.8634,134
2994,2.7,986,-200,14.5,1133,253,773,1619,1174,33.7,15.4,0.7913,141
2995,2.3,908,-200,11.5,1031,187,857,1469,901,34.5,13.3,0.7158,112
2996,2.0,888,-200,10.8,1007,149,870,1448,794,33.8,13.9,0.7172,105
2997,1.3,843,-200,6.4,830,89,995,1339,577,30.1,19.4,0.8157,72
2998,1.7,905,-200,8.8,931,124,876,1460,776,28.3,21.3,0.8054,90
2999,2.8,1023,-200,14.3,1127,206,760,1635,982,31.9,18.3,0.8523,126
3000,3.8,1125,-200,19.4,1279,241,662,1840,1256,32.0,20.1,0.9364,154
3001,4.9,1211,-200,27.1,1483,303,586,2092,1483,28.9,24.1,0.9495,173
3002,4.3,1140,-200,19.7,1289,294,634,1884,1390,27.3,27.1,0.967,162
3003,2.6,1029,-200,13.6,1105,203,737,1666,1195,26.0,28.5,0.9484,128
3004,2.4,981,-200,12.1,1054,176,768,1592,1135,25.2,28.6,0.9008,120
3005,1.9,971,-200,11.0,1014,155,788,1585,1115,24.3,31.1,0.9316,111
3006,1.4,927,-200,8.8,930,108,840,1522,1026,23.6,33.8,0.9685,89
3007,1.1,868,-200,6.7,846,72,925,1448,836,23.0,33.8,0.9406,69
3008,0.9,863,-200,6.3,824,65,905,1469,925,22.2,38.4,1.0126,70
3009,0.7,820,-200,4.1,716,-200,994,1380,933,20.4,42.6,1.0083,-200
3010,0.5,777,-200,2.9,645,39,1076,1334,781,20.5,42.3,1.0091,59
3011,0.8,855,-200,5.0,762,79,942,1444,959,18.8,49.0,1.0505,73
3012,1.3,960,-200,9.9,973,140,769,1616,1155,18.8,49.4,1.0624,89
3013,4.7,1310,-200,27.5,1492,427,527,2194,1686,19.9,46.5,1.071,142
3014,4.6,1339,-200,30.4,1561,366,498,2357,1791,22.1,41.7,1.098,145
3015,3.7,1211,-200,19.8,1290,311,606,1913,1643,24.0,36.4,1.0706,156
3016,2.8,1068,-200,15.7,1171,275,711,1717,1360,30.2,22.8,0.9616,148
3017,1.8,932,-200,11.3,1026,195,851,1523,944,33.4,17.1,0.8627,122
3018,1.9,949,-200,12.6,1069,144,819,1547,905,35.1,15.0,0.8381,106
3019,2.0,944,-200,11.9,1045,162,829,1525,884,34.1,16.0,0.8408,106
3020,2.0,966,-200,14.4,1131,200,800,1612,968,35.7,13.6,0.7836,127
3021,2.1,940,-200,12.4,1063,176,848,1539,929,35.3,13.8,0.7767,113
3022,2.1,934,-200,11.7,1041,203,865,1496,936,32.3,16.7,0.7946,136
3023,3.2,1052,-200,18.4,1252,237,739,1729,1107,36.0,13.3,0.7773,153
3024,4.0,1109,-200,22.9,1374,263,676,1795,1225,35.8,13.7,0.7868,172
3025,4.6,1169,-200,25.0,1430,300,636,1901,1372,32.3,18.4,0.8753,190
3026,3.0,1093,-200,15.5,1163,189,717,1705,1139,29.7,25.0,1.0246,160
3027,2.9,1084,-200,16.7,1200,185,686,1753,1505,27.8,26.6,0.9748,159
3028,1.9,970,-200,11.2,1023,134,787,1552,1074,26.3,27.3,0.9238,123
3029,1.4,951,-200,9.0,939,96,849,1488,868,25.3,30.0,0.9508,101
3030,2.1,1038,-200,12.1,1053,122,744,1631,1095,24.0,34.9,1.0271,116
3031,1.2,950,-200,8.9,937,64,802,1566,989,23.4,38.6,1.0968,80
3032,0.6,831,-200,3.7,695,30,1033,1355,658,23.5,38.3,1.0972,51
3033,0.4,813,-200,3.1,656,-200,1070,1332,603,22.0,42.6,1.1146,-200
3034,-200.0,797,-200,2.5,621,23,1105,1303,562,21.6,44.0,1.1225,37
3035,0.4,824,-200,3.1,660,36,1033,1342,618,21.4,45.6,1.1493,46
3036,0.7,879,-200,5.7,796,58,912,1454,747,21.1,47.1,1.1641,64
3037,2.3,1132,-200,15.6,1166,168,652,1827,1229,21.3,48.4,1.2119,108
3038,4.0,1291,-200,25.2,1434,306,526,2239,1494,22.9,47.9,1.3208,151
3039,2.8,1193,-200,15.4,1160,231,630,1927,1281,24.4,45.5,1.3721,153
3040,1.6,1057,-200,8.4,914,157,796,1665,954,27.6,38.0,1.3818,116
3041,1.6,1027,-200,8.0,899,132,822,1563,810,31.1,29.6,1.318,116
3042,2.0,1084,-200,12.1,1052,136,736,1677,882,33.4,24.7,1.2516,130
3043,2.0,1032,-200,12.6,1071,127,742,1619,840,35.7,18.9,1.0865,131
3044,1.7,977,-200,10.6,998,125,810,1554,743,36.2,18.1,1.0724,131
3045,2.0,1039,-200,12.6,1069,138,773,1646,880,37.1,17.7,1.094,135
3046,2.2,1056,-200,14.3,1127,163,734,1694,928,36.5,18.1,1.0887,152
3047,3.2,1164,-200,20.3,1306,259,648,1886,1218,35.5,19.1,1.0888,198
3048,3.6,1124,-200,20.5,1309,236,655,1845,1170,33.7,20.0,1.0275,183
3049,3.8,1152,-200,22.1,1355,245,628,1879,1620,30.5,22.7,0.9763,175
3050,4.8,1223,-200,23.8,1399,344,592,1940,1508,28.7,26.2,1.0144,193
3051,2.8,1058,-200,14.7,1139,188,696,1699,1318,26.7,28.9,0.9981,140
3052,2.6,1049,-200,15.1,1152,149,693,1730,1189,25.7,31.6,1.0285,128
3053,1.9,1010,-200,10.8,1006,102,779,1589,1000,24.5,35.7,1.0807,100
3054,1.7,981,-200,10.2,985,99,779,1572,1020,24.3,36.3,1.0852,97
3055,1.0,886,-200,6.5,834,48,904,1440,767,23.8,36.9,1.0748,67
3056,0.7,821,-200,3.9,706,36,1021,1360,674,23.7,37.3,1.076,58
3057,0.5,784,-200,2.8,641,-200,1114,1319,588,22.2,40.6,1.0729,-200
3058,0.4,771,-200,2.1,593,30,1155,1291,545,21.6,42.2,1.0762,45
3059,0.6,819,-200,3.4,677,56,1048,1379,685,20.3,46.8,1.1,62
3060,0.7,836,-200,4.7,747,51,961,1384,702,20.7,45.9,1.1088,59
3061,2.4,1114,-200,15.8,1174,172,667,1819,1188,20.5,47.7,1.1419,102
3062,4.4,1319,-200,26.6,1470,316,520,2276,1589,22.4,46.6,1.247,154
3063,3.1,1211,-200,14.8,1143,269,632,1860,1331,24.2,48.5,1.4452,157
3064,2.0,1051,-200,9.3,950,196,802,1593,1040,28.8,33.0,1.2825,138
3065,2.1,1108,-200,12.0,1049,206,749,1701,1137,32.8,25.2,1.2325,142
3066,2.1,1014,-200,10.9,1012,156,795,1548,851,34.4,19.9,1.0647,125
3067,2.1,1003,-200,11.9,1047,120,769,1578,782,36.5,16.7,1.0045,120
3068,2.2,1021,-200,13.2,1092,161,764,1606,908,37.5,14.3,0.9099,150
3069,1.6,986,-200,8.9,937,114,833,1473,806,38.0,15.5,1.0119,120
3070,2.4,1098,-200,13.0,1084,191,754,1648,985,38.1,16.5,1.0828,173
3071,3.3,1157,-200,18.2,1245,236,665,1782,1211,37.3,17.3,1.084,187
3072,4.0,1190,-200,23.7,1395,287,606,1914,1411,35.9,17.7,1.0316,206
3073,4.1,1183,-200,21.6,1341,266,628,1881,1395,32.4,21.5,1.0303,187
3074,4.2,1231,-200,21.6,1341,274,626,1937,1578,30.3,25.6,1.0879,170
3075,2.9,1102,-200,16.5,1195,196,690,1762,1325,28.5,27.8,1.0665,149
3076,2.3,1041,-200,12.3,1060,144,748,1629,1185,26.9,30.5,1.0671,124
3077,2.2,1090,-200,13.6,1103,142,695,1686,1235,25.7,33.5,1.0918,119
3078,2.1,1074,-200,12.8,1078,124,685,1673,1317,24.7,36.9,1.1302,108
3079,1.6,977,-200,9.4,956,93,765,1581,1114,23.6,39.2,1.1306,93
3080,1.2,949,-200,8.3,910,71,816,1552,1015,22.2,43.0,1.1363,77
3081,1.2,912,-200,6.7,842,-200,863,1489,1015,21.2,45.8,1.1353,-200
3082,0.9,863,-200,4.6,746,56,919,1415,961,21.3,45.9,1.1471,76
3083,0.6,834,-200,3.6,689,46,988,1367,796,21.6,45.0,1.151,58
3084,0.7,865,-200,5.0,764,51,917,1430,826,21.3,46.5,1.1608,63
3085,1.3,974,-200,8.2,908,83,793,1546,1057,21.1,46.9,1.1585,75
3086,2.0,1079,-200,10.7,1004,175,713,1628,1302,22.8,43.0,1.1731,111
3087,1.9,1084,-200,10.3,990,148,734,1633,1284,25.0,38.3,1.198,116
3088,2.2,1107,-200,12.9,1080,167,714,1675,1348,30.9,26.9,1.1835,138
3089,1.9,1040,-200,11.0,1015,120,775,1543,1025,35.1,19.2,1.0664,117
3090,1.5,1019,-200,8.3,913,78,840,1428,759,36.9,17.2,1.0576,94
3091,1.4,1003,-200,8.2,907,76,862,1427,680,39.3,13.9,0.9715,91
3092,1.0,925,-200,5.2,772,45,1001,1308,516,40.3,12.6,0.9302,60
3093,1.0,910,-200,4.6,743,54,1039,1282,500,39.7,13.5,0.965,66
3094,1.4,1012,-200,7.2,868,70,884,1435,700,41.1,13.1,1.0124,87
3095,1.6,1100,-200,9.4,954,87,809,1512,1360,40.1,14.9,1.0828,106
3096,1.6,1046,-200,8.0,901,69,849,1464,722,37.4,17.0,1.0757,94
3097,2.1,1083,-200,10.7,1003,95,787,1524,842,34.0,19.2,1.0073,112
3098,2.0,1050,-200,9.6,962,107,810,1496,879,31.7,21.6,0.9959,120
3099,1.9,1050,-200,8.7,927,88,830,1475,836,29.7,24.2,0.9926,106
3100,2.3,1142,-200,11.6,1035,100,746,1611,1062,27.9,27.6,1.0252,112
3101,2.4,1165,-200,11.8,1043,125,717,1644,1188,26.8,29.9,1.0402,120
3102,2.2,1136,-200,10.5,995,132,727,1591,1236,25.8,33.0,1.0826,114
3103,1.2,986,-200,5.5,790,57,869,1422,853,26.3,33.1,1.1199,70
3104,1.1,971,-200,5.5,790,46,871,1447,875,24.3,38.1,1.1398,64
3105,0.8,908,-200,3.8,701,-200,971,1381,704,24.7,36.4,1.1158,-200
3106,-200.0,882,-200,2.9,648,34,1023,1338,666,23.3,39.5,1.1176,55
3107,0.6,900,-200,3.4,674,33,974,1355,679,21.1,45.6,1.1246,50
3108,0.7,935,-200,4.1,716,50,915,1415,877,20.2,48.5,1.1319,62
3109,0.4,939,-200,4.1,718,39,927,1395,826,21.3,45.5,1.1405,53
3110,0.6,982,-200,4.7,750,84,893,1417,881,22.6,31.0,0.8372,85
