CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
0.6,-200,-200,-200.0,-200,46,-200,-200,-200,-200.0,-200.0,-200.0,58
1.6,1020,144,7.3,871,133,956,1426,911,12.6,50.8,0.7387,93
-200.0,1136,-200,5.6,792,-200,1057,1476,536,25.8,31.1,1.0143,-200
8.6,1683,-200,43.0,1831,1216,374,1964,2331,9.2,39.3,0.4573,272
0.9,991,-200,5.3,776,45,1122,1375,468,29.9,22.0,0.9181,60
3.6,1299,-200,16.6,1197,407,763,1688,1606,29.3,30.7,1.229,165
3.7,1556,-200,17.1,1214,658,472,1435,2026,11.1,52.0,0.6869,227
2.3,1048,-200,12.6,1070,111,807,1737,842,31.3,25.4,1.1415,106
1.0,932,-200,4.7,746,51,912,1528,534,26.9,47.5,1.6595,71
2.7,1285,-200,10.9,1009,380,517,1452,1366,12.8,64.4,0.9448,153
1.5,987,-200,6.0,810,199,801,939,830,8.5,36.3,0.4026,137
1.9,1026,-200,13.0,1085,124,848,1654,1341,37.4,14.9,0.9413,116
2.1,-200,-200,-200.0,-200,215,-200,-200,-200,-200.0,-200.0,-200.0,148
2.2,1310,79,8.8,933,184,1082,1647,946,8.3,79.8,0.8778,126
6.7,1975,523,35.1,1667,347,597,2416,2359,20.5,38.2,0.9133,182
-200.0,709,-200,0.6,449,-200,1590,1055,392,14.5,57.4,0.9413,-200
1.9,1140,-200,7.0,856,258,707,1171,1147,6.5,73.9,0.7224,152
1.9,1010,-200,10.8,1006,102,779,1589,1000,24.5,35.7,1.0807,100
1.7,-200,-200,-200.0,-200,266,-200,-200,-200,-200.0,-200.0,-200.0,129
1.2,887,-200,3.4,679,180,969,1132,786,12.3,71.2,1.0175,96
4.3,1502,-200,18.6,1256,696,560,1568,2044,13.4,69.0,1.0579,154
2.0,966,-200,14.4,1131,200,800,1612,968,35.7,13.6,0.7836,127
1.0,1009,-200,6.0,810,56,859,1634,772,25.4,49.3,1.5732,65
3.1,1170,-200,18.6,1257,185,693,1956,1069,35.6,23.4,1.341,180
1.6,1061,-200,7.9,895,197,737,1359,944,18.8,59.1,1.2702,73
-200.0,955,-200,7.9,894,-200,818,1366,804,17.9,52.6,1.0711,-200
3.5,-200,-200,-200.0,-200,763,-200,-200,-200,-200.0,-200.0,-200.0,123
2.4,959,-200,4.1,717,171,892,939,664,9.8,43.3,0.5238,113
-200.0,883,-200,1.6,549,-200,1019,1025,607,9.4,70.9,0.8386,-200
2.0,1139,157,8.0,899,126,921,1514,1067,14.1,54.4,0.8701,104
-200.0,877,-200,1.6,549,14,1265,1317,463,19.6,47.7,1.0736,26
3.9,1394,-200,19.1,1272,461,526,1869,1442,22.9,61.6,1.7014,135
1.7,1048,88,5.5,787,93,1098,1373,835,9.6,61.1,0.7323,97
0.7,795,-200,2.2,596,93,1227,1188,482,14.0,75.4,1.1988,57
4.0,1549,-200,17.8,1233,590,424,1648,1804,17.4,57.3,1.1288,175
0.8,958,-200,4.6,744,-200,809,1419,903,22.1,54.5,1.4337,-200
2.2,1210,-200,9.1,943,333,611,1224,1390,14.6,44.5,0.7337,188
2.8,-200,278,-200.0,-200,166,-200,-200,-200,-200.0,-200.0,-200.0,127
-200.0,952,-200,4.1,717,64,879,1481,1164,23.4,47.4,1.3475,89
0.4,771,-200,2.1,593,30,1155,1291,545,21.6,42.2,1.0762,45
2.3,1134,-200,12.7,1073,171,747,1765,1022,39.7,20.4,1.4594,168
-200.0,917,-200,3.4,677,-200,1103,1494,747,13.8,73.3,1.1518,-200
1.4,1055,-200,5.4,782,231,798,940,1377,5.1,45.6,0.4056,161
2.9,1133,-200,13.5,1101,-200,647,1669,1105,28.0,30.1,1.1226,-200
2.9,1382,-200,16.7,1200,369,539,1807,1413,26.9,50.0,1.7507,101
1.6,1056,-200,5.6,795,203,783,1187,896,12.5,63.7,0.9196,115
3.4,1318,-200,18.1,1243,641,1261,1638,1318,9.0,79.8,0.9203,121
0.3,740,-200,1.8,568,19,1259,1404,510,22.8,48.1,1.3184,32
2.0,1019,-200,9.6,964,325,729,957,984,15.8,16.7,0.2972,168
1.8,1023,-200,6.9,854,111,918,1637,744,15.1,75.1,1.2799,89
2.8,1317,-200,15.7,1171,471,542,1727,1436,21.6,61.4,1.5696,92
8.5,1630,-200,33.1,1622,1089,421,1757,2238,8.0,45.9,0.4936,247
0.5,879,-200,3.1,658,25,1121,1511,564,24.4,48.3,1.4499,39
1.9,999,-200,5.6,793,204,817,1242,898,16.1,59.5,1.0811,110
-200.0,1052,-200,9.7,966,-200,726,1446,982,22.2,41.4,1.097,-200
-200.0,1103,-200,11.0,1014,-200,684,1749,791,38.0,24.7,1.6073,-200
1.7,1024,-200,6.2,819,235,782,1101,1083,8.3,69.7,0.7632,126
0.6,877,-200,3.1,658,25,964,1349,663,28.3,36.7,1.3878,37
-200.0,887,-200,4.8,754,32,1164,1523,560,30.9,30.7,1.3493,30
-200.0,1117,-200,12.1,1052,148,671,1780,824,37.5,24.4,1.5515,137
0.7,940,-200,4.2,724,44,1012,1407,867,19.2,43.6,0.9591,68
2.4,1070,-200,11.2,1022,126,824,1740,933,17.5,59.2,1.1725,88
1.0,924,-200,2.6,629,143,994,941,852,3.1,68.7,0.5317,83
-200.0,1337,-200,21.6,1339,-200,525,1870,1622,20.6,58.5,1.4054,-200
2.5,1185,-200,5.9,807,-200,685,1051,1467,5.0,66.3,0.5811,-200
0.5,748,-200,1.2,515,19,1580,1261,381,19.7,44.8,1.0172,30
0.8,929,-200,2.5,617,140,953,898,544,13.5,37.4,0.5745,102
-200.0,1436,-200,32.2,1601,-200,455,2338,1682,20.1,60.6,1.4062,-200
1.7,1158,-200,10.8,1008,-200,695,1489,1175,24.6,42.8,1.3053,-200
-200.0,869,-200,3.0,649,-200,1033,1249,631,14.7,80.7,1.3414,-200
1.8,1104,-200,15.7,1171,150,827,1803,968,28.1,29.8,1.1132,128
-200.0,1066,-200,14.7,1140,-200,670,1577,1032,16.7,54.1,1.0212,-200
0.6,812,-200,2.4,613,54,1133,1302,626,23.0,54.0,1.501,47
-200.0,925,-200,4.2,721,-200,969,1317,484,36.1,20.7,1.2151,-200
0.9,935,25,2.4,615,54,1373,1250,717,6.3,66.6,0.641,59
-200.0,1089,-200,7.4,873,-200,741,1479,990,20.1,64.4,1.4967,-200
0.4,704,-200,0.8,478,55,1498,821,348,10.4,37.4,0.4717,41
-200.0,926,-200,4.7,747,-200,902,1325,759,14.5,80.5,1.3221,-200
0.3,716,-200,0.7,473,54,1595,734,343,4.7,41.4,0.3576,41
2.2,1021,-200,7.6,882,305,727,1097,847,11.5,42.1,0.5706,137
1.6,1101,-200,6.1,817,290,707,1157,1024,16.3,43.5,0.7988,141
3.6,1204,-200,13.2,1089,397,601,1335,1059,5.6,71.6,0.6556,251
1.4,874,-200,4.8,751,199,918,792,591,12.0,19.3,0.2716,135
2.3,1075,-200,9.1,943,296,752,1305,894,17.2,51.5,1.0015,142
-200.0,1026,-200,5.8,801,45,816,1545,1094,25.8,43.1,1.4113,63
3.6,1286,-200,17.4,1223,573,529,1350,1348,27.9,15.6,0.5782,210
1.0,995,-200,3.5,680,135,879,904,1201,4.1,51.5,0.4263,109
1.9,1131,-200,8.6,926,288,684,1324,1036,12.9,63.2,0.9335,127
0.6,869,-200,2.4,614,-200,1001,1565,674,25.6,63.5,2.0566,-200
-200.0,1263,-200,19.4,1279,182,559,2132,1388,23.0,50.9,1.4105,105
0.8,963,-200,2.4,615,177,980,837,916,3.4,47.0,0.3713,133
3.4,1386,-200,17.6,1228,531,479,1546,1578,13.4,59.7,0.9142,152
-200.0,1199,-200,8.7,928,-200,704,1533,890,25.7,48.8,1.5913,-200
0.9,867,-200,3.3,669,271,1069,981,779,10.1,44.0,0.5434,119
2.0,1268,-200,8.6,926,281,645,1247,1628,9.1,69.6,0.8045,122
-200.0,1050,-200,8.6,923,-200,747,1662,744,37.1,27.9,1.7309,-200
2.5,1192,254,10.8,1007,154,827,1604,1223,16.8,44.0,0.8341,124
1.5,972,-200,5.7,799,199,833,1425,825,19.7,68.6,1.5563,72
7.9,1558,-200,22.9,1375,792,471,1563,2112,10.5,51.1,0.6503,217
0.8,927,-200,3.5,682,56,1109,1526,580,14.6,77.1,1.2727,54
-200.0,922,-200,7.4,874,-200,851,1447,663,30.4,28.2,1.204,-200
4.2,1531,-200,18.0,1238,685,619,1583,1774,12.7,77.5,1.1339,140
0.8,796,-200,2.1,589,93,1136,1026,506,13.3,53.0,0.8044,52
1.1,902,-200,6.0,813,56,875,1518,588,37.5,24.7,1.5637,64
1.6,989,-200,8.0,900,231,737,1401,968,16.8,74.9,1.4258,60
-200.0,1094,-200,14.8,1144,-200,669,1327,1209,12.5,42.8,0.6177,-200
1.0,1094,-200,6.1,815,74,934,1563,852,21.4,46.6,1.1764,69
3.4,1316,-200,20.7,1317,607,538,1860,1336,17.1,72.8,1.4054,85
0.5,826,-200,1.0,504,-200,1250,1204,385,24.0,45.5,1.3404,-200
2.3,1171,251,12.7,1073,120,847,1623,872,18.0,37.1,0.7598,96
2.3,1220,-200,13.6,1105,116,643,1838,1318,30.4,35.4,1.5144,100
2.3,997,-200,9.9,975,377,739,926,947,16.5,14.9,0.2775,164
1.2,929,-200,4.0,713,183,987,1002,830,5.9,62.0,0.5811,92
3.4,1257,-200,17.6,1227,308,611,1954,1608,26.7,39.4,1.3556,162
0.4,828,-200,2.6,626,27,1073,1362,754,25.5,34.6,1.1096,45
0.8,975,-200,3.3,668,169,874,1020,951,4.2,79.1,0.6611,95
5.1,1512,802,27.1,1482,308,596,2189,1605,9.9,64.3,0.7859,118
2.2,1351,87,9.5,960,129,1079,1583,1028,10.5,60.6,0.7691,101
1.1,968,-200,5.6,794,39,836,1688,654,27.2,59.3,2.1059,48
-200.0,949,-200,3.9,705,-200,859,1460,691,25.1,51.8,1.6304,-200
0.9,889,-200,2.9,646,131,2047,1163,743,12.0,77.4,1.0825,70
-200.0,945,-200,7.7,886,-200,818,1307,827,18.0,46.1,0.9401,-200
2.1,1023,-200,11.8,1042,132,796,1711,910,35.4,19.9,1.1222,101
1.9,1186,-200,8.6,925,290,641,1272,1025,7.0,73.7,0.7425,181
3.2,1246,-200,12.8,1077,568,621,1462,1235,12.8,77.9,1.1438,99
1.5,971,-200,6.1,818,205,828,1252,857,15.9,59.6,1.0673,107
2.6,1152,185,12.4,1062,138,928,1606,850,20.2,28.5,0.6682,103
1.9,1021,-200,10.2,985,339,816,1524,977,23.3,46.2,1.301,107
3.4,1404,-200,15.0,1149,581,469,1523,1614,16.1,46.4,0.8436,115
5.9,1726,-200,30.8,1570,659,359,2021,1947,20.1,43.2,1.0051,200
1.6,1085,130,6.2,820,99,1060,1325,699,18.1,30.6,0.6295,81
1.2,835,-200,3.9,705,19,1117,1161,592,15.6,50.0,0.8773,2
0.9,948,93,4.0,710,56,1127,1352,575,15.7,45.9,0.8121,67
1.7,1082,-200,6.9,855,286,725,1140,1005,9.1,58.4,0.6787,201
4.3,1201,-200,25.0,1428,285,664,2249,1378,21.7,44.2,1.1321,118
3.9,1467,-200,19.8,1292,210,698,1942,1439,15.4,51.4,0.8956,138
-200.0,943,-200,7.2,864,-200,831,1297,814,17.4,48.3,0.955,-200
3.5,1389,-200,20.5,1311,339,525,1845,1748,28.7,38.4,1.486,98
0.8,978,66,2.7,635,36,1188,1382,579,15.9,57.0,1.0224,51
-200.0,949,-200,6.6,841,-200,1155,1393,954,18.6,39.3,0.8355,-200
-200.0,1105,-200,12.9,1079,-200,788,1774,1168,30.0,27.5,1.1509,-200
0.8,819,-200,1.9,576,114,1142,809,492,11.4,32.0,0.431,85
2.2,1156,-200,14.8,1142,387,907,1490,1188,34.9,18.5,1.0189,143
0.6,710,-200,1.2,523,112,1479,827,350,12.4,31.3,0.45,62
1.5,1006,-200,7.9,896,67,797,1697,736,30.3,45.1,1.9129,79
1.7,927,-200,4.1,715,247,965,797,711,4.6,33.8,0.2898,164
1.2,1097,91,5.9,809,80,897,1628,1050,15.7,78.4,1.3917,74
-200.0,1000,-200,5.0,763,-200,807,1619,680,27.7,53.7,1.9661,-200
3.7,1385,-200,18.7,1260,493,528,1850,1425,22.3,64.3,1.7055,129
-200.0,833,-200,2.7,632,120,1107,834,760,5.1,46.5,0.4125,78
4.3,1521,-200,16.9,1208,681,497,1549,1770,12.2,65.8,0.931,179
2.1,1181,-200,12.8,1078,159,706,1870,1140,35.4,27.8,1.5733,122
1.5,961,-200,10.2,985,115,845,1554,677,32.4,19.1,0.915,139
1.4,925,-200,6.6,838,210,949,1324,728,25.4,34.8,1.1119,83
-200.0,1039,-200,6.4,828,292,791,987,1115,5.0,47.5,0.418,162
2.0,1243,178,8.7,928,109,852,1622,1079,17.5,50.9,1.009,100
1.7,984,-200,9.1,945,115,990,1423,747,25.8,19.5,0.6392,88
0.7,1098,-200,7.6,881,265,760,1203,974,7.0,64.9,0.6512,128
0.1,880,-200,2.9,649,33,1022,1374,739,22.2,42.8,1.1317,50
-200.0,1038,-200,8.2,906,66,808,1567,747,38.3,24.5,1.622,86
4.7,1506,-200,22.3,1360,529,458,1944,1609,22.0,69.2,1.8061,113
3.2,1542,-200,16.7,1200,583,469,1520,1577,15.1,49.8,0.8458,215
7.9,1751,-200,44.1,1853,789,358,2496,2013,23.0,62.1,1.7283,158
5.3,1545,-200,24.0,1403,571,407,1743,1821,16.7,42.5,0.8002,223
4.9,1465,-200,28.5,1515,555,454,2119,1516,18.0,74.8,1.5281,119
1.6,988,-200,8.6,924,113,1015,1463,835,25.0,24.2,0.7568,93
0.8,901,-200,2.9,646,37,1105,1446,488,29.1,40.8,1.6203,50
4.1,1220,-200,21.7,1344,524,605,1676,1743,25.2,26.8,0.8451,163
1.9,1108,-200,12.3,1061,238,685,1454,1315,21.1,44.8,1.1088,133
3.3,1336,-200,15.9,1176,208,656,1891,1468,18.2,54.7,1.1336,131
2.6,1321,-200,12.7,1075,101,757,1891,1017,20.6,50.5,1.2082,85
0.9,940,-200,5.9,806,181,800,1392,1013,16.2,76.9,1.4029,48
3.2,1114,-200,12.2,1057,388,777,1301,1079,15.1,45.4,0.7759,135
3.0,1374,415,14.1,1121,180,771,1685,1399,18.5,43.0,0.9074,146
2.0,-200,-200,-200.0,-200,114,-200,-200,-200,-200.0,-200.0,-200.0,104
2.7,1145,-200,12.7,1074,393,593,1186,1232,16.5,21.6,0.4012,163
-200.0,1302,-200,18.7,1260,-200,658,1970,1471,23.0,37.5,1.0389,-200
1.1,918,-200,5.8,805,43,816,1571,759,25.4,55.1,1.7628,55
1.6,982,-200,7.9,895,233,892,1413,859,24.3,39.5,1.1842,89
0.2,735,-200,1.4,533,-200,1338,1350,493,21.0,47.5,1.1666,-200
-200.0,1094,-200,9.7,966,-200,877,1519,919,21.0,30.6,0.7538,-200
3.4,1332,-200,15.5,1163,445,548,1664,1522,18.8,62.7,1.3506,134
2.1,1208,-200,13.0,1083,121,792,1702,891,31.0,22.6,1.0012,118
-200.0,929,-200,5.6,795,-200,858,1373,815,17.1,71.8,1.3936,-200
1.2,1022,-200,6.8,849,32,813,1583,732,39.9,23.8,1.7127,44
1.2,955,-200,5.2,772,243,1030,957,960,9.3,43.1,0.5062,106
1.4,929,-200,4.2,721,198,923,956,913,4.5,62.7,0.5343,120
0.5,840,-200,2.0,586,25,1154,1499,492,26.1,60.3,2.012,34
2.1,931,-200,9.9,972,424,868,974,953,11.9,21.3,0.2957,132
1.2,989,-200,6.0,814,53,845,1657,680,28.6,53.7,2.0691,65
3.6,1388,-200,22.4,1363,370,485,1815,1556,20.3,61.4,1.4417,105
0.5,888,-200,1.3,528,77,1077,987,578,10.4,59.9,0.755,53
1.2,981,-200,7.1,860,150,812,1298,1059,20.3,47.8,1.1281,101
-200.0,1239,-200,22.8,1373,-200,550,1593,1495,7.1,62.0,0.6265,-200
1.0,909,-200,2.6,624,157,1056,1073,736,8.6,77.2,0.8617,74
1.4,1163,-200,5.8,801,186,772,1288,876,13.6,68.9,1.0699,99
1.5,1098,-200,9.1,944,69,687,1772,1086,28.2,51.1,1.9221,76
2.4,996,-200,10.6,998,417,2318,1136,1060,12.9,34.5,0.5102,128
-200.0,1177,-200,14.8,1142,133,601,1868,1226,27.6,40.5,1.4715,134
-200.0,1215,-200,15.4,1161,-200,714,1802,1237,15.1,51.8,0.8816,-200
1.6,1089,-200,7.9,893,90,879,1609,791,38.9,21.4,1.4605,110
3.1,1454,535,15.4,1162,188,682,1915,1457,18.0,51.5,1.0552,114
3.9,1352,-200,14.6,1137,610,567,1234,2016,5.1,59.0,0.5248,174
1.2,1069,-200,10.2,983,87,749,1627,1357,29.8,30.2,1.2502,88
2.7,1065,-200,16.6,1198,169,766,1852,1043,35.3,18.8,1.0572,137
1.8,1044,-200,6.5,834,292,781,924,1200,3.9,43.5,0.3538,181
-200.0,1215,-200,6.7,843,-200,929,1551,862,15.9,59.2,1.0635,-200
2.7,1275,-200,12.3,1061,427,593,1203,1494,10.4,37.3,0.4708,211
-200.0,865,-200,3.8,697,-200,1002,883,589,11.9,30.6,0.4264,-200
5.6,1583,-200,29.4,1538,803,461,2214,1788,23.0,56.4,1.5614,160
3.1,1304,357,14.8,1142,232,772,1747,1405,14.8,44.1,0.7407,119
-200.0,1046,-200,6.1,817,-200,790,1214,957,10.5,78.6,0.9976,-200
1.8,1225,-200,8.1,904,267,644,1194,1460,7.5,71.7,0.7439,110
2.6,1225,-200,14.5,1134,350,614,1352,1421,11.5,57.3,0.7786,122
0.7,939,-200,2.5,620,151,905,1095,813,10.9,69.2,0.9033,88
-200.0,849,-200,2.3,607,-200,1189,1190,544,23.5,40.9,1.1677,-200
1.9,1065,-200,11.7,1038,110,805,1763,1026,26.5,38.6,1.3154,107
3.1,1326,-200,16.3,1190,624,531,1509,1391,8.2,74.9,0.8184,127
4.3,1532,-200,18.9,1265,643,482,1578,1777,13.3,59.0,0.8945,194
0.9,1012,-200,5.8,804,53,832,1638,766,32.4,37.3,1.7808,48
3.1,1434,-200,13.3,1093,335,561,1366,1893,11.7,65.6,0.898,168
1.6,985,-200,9.1,944,102,866,1541,833,30.1,23.5,0.9869,97
1.7,1089,-200,4.7,750,241,765,1108,1117,3.9,80.9,0.6613,138
1.8,1064,-200,7.6,881,340,727,979,1099,11.4,27.8,0.3748,194
2.0,1096,-200,13.0,1083,310,971,1430,986,35.0,17.3,0.9542,129
0.4,758,-200,1.9,580,22,1215,1374,531,22.1,44.3,1.1665,36
3.7,1424,-200,18.0,1240,194,662,1841,1427,19.1,41.9,0.9158,126
-200.0,971,-200,2.0,585,79,928,1004,394,12.3,55.9,0.7966,61
0.3,832,-200,4.2,719,52,1318,1299,502,28.7,20.7,0.8024,59
2.4,698,-200,2.4,614,-200,1286,718,591,10.4,19.2,0.242,-200
-200.0,884,-200,4.3,729,-200,920,1389,837,22.9,45.7,1.2621,-200
1.2,1001,-200,5.7,799,59,800,1642,753,27.7,53.0,1.9423,46
-200.0,909,-200,4.5,737,-200,909,941,753,10.8,36.3,0.4712,-200
-200.0,958,-200,8.0,900,-200,782,1493,830,28.1,34.3,1.2821,-200
0.8,859,-200,5.8,803,50,1032,1363,479,30.3,21.4,0.9064,67
-200.0,1024,-200,3.1,658,-200,1175,1417,682,13.5,63.9,0.9809,-200
0.6,980,-200,2.5,621,132,858,1190,692,13.7,78.0,1.2174,81
0.9,1207,-200,7.1,861,336,649,1217,1181,13.2,55.6,0.8412,168
1.7,-200,-200,-200.0,-200,285,-200,-200,-200,-200.0,-200.0,-200.0,117
2.4,1179,255,14.6,1137,132,829,1651,949,27.2,22.0,0.7785,87
-200.0,1528,-200,25.8,1449,-200,473,2039,1756,20.4,61.2,1.447,-200
2.4,997,-200,13.5,1100,157,896,1392,987,22.6,17.2,0.4656,106
1.7,926,-200,6.1,815,254,931,945,827,18.4,19.7,0.4117,109
1.1,866,-200,2.4,613,124,1075,810,579,3.3,47.4,0.3716,97
2.3,1001,-200,11.4,1029,342,733,1255,1034,13.4,48.4,0.7397,127
0.2,715,-200,0.5,445,32,1601,925,373,8.0,64.5,0.695,29
2.7,1151,-200,15.2,1154,151,747,1894,1186,28.4,35.7,1.3549,132
0.7,956,-200,5.4,784,57,928,1634,934,25.3,47.6,1.5108,62
-200.0,891,-200,5.5,789,-200,960,1234,522,21.6,35.9,0.9164,-200
3.5,1324,-200,14.1,1121,547,531,1399,1481,6.0,78.0,0.7345,262
0.9,936,-200,4.4,730,48,864,1551,726,27.7,52.6,1.9202,38
0.5,836,-200,2.6,626,-200,1024,1397,639,24.3,49.0,1.4666,-200
-200.0,1217,-200,7.3,869,-200,873,1660,963,14.9,74.5,1.253,-200
1.7,1097,-200,9.6,964,103,822,1743,853,31.2,32.4,1.4517,102
-200.0,939,-200,6.9,853,96,890,1528,679,31.7,26.4,1.2153,81
5.5,1797,336,25.9,1451,360,652,2323,1680,12.4,63.9,0.917,114
0.5,920,-200,1.1,506,61,1142,905,453,7.8,55.7,0.5914,56
1.4,939,-200,4.8,751,312,898,984,952,5.7,54.5,0.5034,156
3.2,1443,-200,20.9,1322,335,488,1933,1539,27.0,51.0,1.7936,101
4.1,1485,-200,22.3,1359,465,477,2005,1614,23.9,54.4,1.5963,132
3.9,1316,-200,15.9,1177,525,544,1392,1529,12.3,41.2,0.5867,178
1.9,1091,-200,7.6,882,358,844,1288,931,15.0,55.3,0.9338,114
3.1,1267,-200,15.6,1166,535,567,1382,1505,8.9,60.8,0.6921,179
1.0,931,-200,3.4,679,151,947,1138,867,10.5,77.8,0.9839,66
3.3,-200,-200,-200.0,-200,487,-200,-200,-200,-200.0,-200.0,-200.0,162
1.0,901,-200,2.7,631,108,988,915,751,3.7,65.9,0.5295,87
1.2,970,-200,3.7,691,208,891,956,890,3.7,64.8,0.5208,124
2.3,1234,-200,12.0,1049,312,523,1516,1190,18.6,55.0,1.1696,142
1.5,1272,-200,13.8,1111,470,563,1279,1416,4.3,58.6,0.4915,141
1.0,867,-200,1.6,553,91,1136,792,412,2.8,49.1,0.3726,73
1.4,857,-200,6.0,813,51,1040,1183,622,19.3,34.8,0.771,14
0.7,866,33,1.8,569,41,1468,1055,436,11.6,33.6,0.4595,66
0.9,866,-200,4.4,734,109,899,1299,770,14.8,78.7,1.3169,45
2.3,1141,-200,13.3,1095,119,642,1816,1139,27.7,44.6,1.6304,92
2.8,1145,-200,15.7,1170,157,751,1894,1376,26.7,35.4,1.2233,123
1.7,1182,-200,11.0,1016,209,658,1572,1210,21.8,58.2,1.5036,73
0.9,910,-200,2.9,644,149,971,873,428,21.6,20.8,0.5292,106
1.5,-200,-200,-200.0,-200,268,-200,-200,-200,-200.0,-200.0,-200.0,130
2.9,1311,-200,15.9,1178,366,574,1769,1208,20.2,66.9,1.5643,111
0.7,879,-200,5.6,792,59,906,1521,825,21.1,47.3,1.1654,57
1.1,1005,-200,4.9,758,51,1091,1434,522,26.8,27.3,0.9462,57
4.8,1349,-200,14.6,1136,539,575,1299,1810,5.7,61.3,0.5657,149
3.8,1254,-200,16.8,1204,413,668,1655,1338,30.0,31.4,1.3074,179
0.4,843,-200,0.5,443,35,1490,730,262,5.2,57.2,0.5094,34
3.3,1218,-200,16.6,1198,280,671,1907,1413,32.6,28.0,1.3566,183
-200.0,-200,-200,-200.0,-200,-200,-200,-200,-200,-200.0,-200.0,-200.0,-200
4.4,1587,202,17.9,1236,307,897,1900,1400,7.3,63.1,0.6499,141
2.7,1336,132,11.8,1043,256,935,1678,1192,6.5,71.6,0.6945,96
0.8,831,-200,3.4,679,37,1143,1291,526,33.8,21.9,1.1303,60
1.4,-200,-200,-200.0,-200,68,-200,-200,-200,-200.0,-200.0,-200.0,86
3.8,1310,-200,21.4,1334,617,573,1747,1633,22.4,38.8,1.04,174
2.2,1096,-200,9.4,954,345,687,1085,1139,9.1,37.8,0.4372,197
0.8,908,-200,4.4,732,77,966,1311,722,23.5,44.7,1.2755,62
3.1,1308,-200,16.3,1189,566,534,1325,1656,7.7,49.8,0.5267,274
2.2,1046,-200,7.8,890,300,791,1109,1195,10.7,47.5,0.6108,142
2.2,1154,-200,7.8,891,304,697,1197,1079,6.5,74.7,0.7248,166
2.2,1157,-200,12.6,1069,274,737,1653,1100,32.1,33.5,1.569,120
-200.0,961,-200,4.9,759,-200,943,1375,799,22.4,53.6,1.4379,-200
1.0,925,-200,5.2,772,45,1001,1308,516,40.3,12.6,0.9302,60
3.0,1294,-200,10.8,1006,571,567,1296,1538,20.8,31.3,0.7617,196
2.6,1215,-200,15.1,1150,282,608,1733,1115,30.4,37.2,1.588,118
5.0,1667,-200,24.2,1410,691,383,1818,1948,18.2,52.2,1.0795,201
0.9,931,-200,2.6,627,117,948,860,911,2.3,58.9,0.4317,98
0.9,848,-200,3.6,689,65,1180,1403,520,20.1,45.2,1.0538,71
1.7,1064,-200,9.1,942,94,735,1650,801,36.8,26.2,1.5984,78
2.7,1236,236,13.0,1084,131,854,1688,1059,11.7,57.1,0.7822,112
1.3,-200,-200,-200.0,-200,159,-200,-200,-200,-200.0,-200.0,-200.0,97
3.3,1452,283,18.3,1250,217,776,1868,1583,24.4,27.4,0.8231,154
2.1,992,-200,9.8,970,135,869,1624,884,18.5,42.8,0.9026,100
0.8,1042,-200,3.6,688,196,814,935,1204,2.5,64.8,0.4807,115
0.9,895,-200,6.4,831,66,946,1473,566,31.2,23.4,1.0487,83
1.3,1035,-200,7.9,895,84,898,1657,863,20.3,54.8,1.2867,65
1.7,1008,-200,6.7,845,-200,832,1349,856,26.3,29.5,0.9959,-200
1.1,1026,59,3.8,699,-200,1191,1292,851,7.9,63.5,0.6777,-200
-200.0,1050,-200,11.7,1039,108,756,1558,734,38.5,16.5,1.1037,129
7.7,1822,-200,36.0,1686,1134,387,2077,2244,15.5,61.2,1.067,233
0.9,932,-200,2.8,642,-200,950,871,1014,3.3,56.1,0.4379,-200
3.2,1361,-200,18.0,1238,344,548,1805,1368,28.0,39.6,1.4738,98
1.7,930,-200,8.4,914,131,991,1631,862,20.0,45.6,1.0555,98
2.6,1207,324,11.7,1041,189,813,1620,1319,16.5,42.6,0.7912,113
1.6,961,-200,5.5,789,330,839,910,816,8.6,34.2,0.3834,169
0.8,961,-200,5.8,801,33,850,1683,798,26.0,54.9,1.8141,44
2.1,1204,-200,14.6,1136,346,648,1782,1491,25.1,49.4,1.548,112
3.5,1243,-200,10.8,1006,497,572,1349,1395,13.7,51.9,0.8106,170
-200.0,1088,-200,6.6,839,-200,760,1236,951,9.7,73.1,0.8772,-200
1.3,966,92,4.5,737,-200,1083,1363,581,12.6,58.6,0.8529,-200
0.7,897,-200,2.1,594,128,999,870,871,4.9,55.2,0.4807,89
3.1,1082,-200,15.9,1178,341,733,1605,1077,22.8,42.5,1.1608,129
3.3,1314,503,15.1,1150,181,726,1784,1083,16.3,47.7,0.8746,126
1.0,1034,-200,3.9,707,122,740,1267,930,16.2,64.3,1.1729,74
-200.0,1215,-200,16.8,1203,-200,599,1664,1341,21.1,47.2,1.1659,-200
3.5,1257,-200,13.7,1108,577,592,1520,1287,12.6,78.4,1.1419,94
0.8,870,54,2.6,626,39,1325,1284,755,9.6,58.5,0.7,52
0.8,773,-200,3.4,676,49,1331,1374,489,26.6,29.0,0.9928,49
6.5,1448,-200,18.8,1263,747,511,1428,1971,7.2,58.6,0.5986,165
1.1,980,-200,5.6,793,32,858,1549,654,37.7,27.7,1.778,43
2.1,1090,-200,12.7,1073,133,745,1693,1124,26.1,31.1,1.0338,122
3.1,1139,-200,18.0,1240,239,702,1940,1129,31.1,26.2,1.1647,144
